txn_id,user_id,initiated_at,txn_value_inr,bank_name,device_type,network_type,app_version,txn_success,final_error_code
TX100020,1083,2025-08-23 20:36:44.001158,50.0,PNB,Android,WiFi,7.3.1,True,
TX100021,2559,2025-08-12 09:56:42.001158,50.0,ICICI,Android,4G,7.3.1,True,
TX100022,2048,2025-07-15 22:20:50.001158,50.0,SBI,Android,4G,7.3.1,True,
TX100023,2748,2025-08-30 10:50:32.001158,50.0,PNB,Android,4G,7.4.0,True,
TX100024,976,2025-07-26 04:31:41.001158,50.0,Axis,Android,WiFi,7.4.0,False,USER_ABORT
TX100025,1807,2025-07-31 09:31:53.001158,50.0,HDFC,Android,5G,7.4.0,False,NETWORK_TIMEOUT
TX100026,190,2025-08-06 19:56:03.001158,50.0,SBI,Android,WiFi,7.3.1,False,USER_ABORT
TX100027,2735,2025-08-08 14:45:01.001158,50.0,SBI,iOS,5G,7.4.0,False,NETWORK_TIMEOUT
TX100028,3006,2025-08-01 12:20:23.001158,50.0,SBI,iOS,4G,7.3.1,True,
TX100029,4659,2025-08-04 21:03:34.001158,50.0,SBI,Android,5G,7.3.1,True,
TX100030,1900,2025-07-17 08:54:16.001158,50.0,PNB,iOS,4G,7.3.1,False,NETWORK_TIMEOUT
TX100031,1268,2025-07-07 21:40:13.001158,50.0,ICICI,Android,4G,7.4.1,False,NETWORK_TIMEOUT
TX100032,1529,2025-07-13 03:47:39.001158,50.0,ICICI,iOS,4G,7.3.1,True,
TX100033,3203,2025-07-30 18:31:56.001158,50.0,Axis,iOS,4G,7.4.0,True,
TX100034,3557,2025-08-23 13:02:54.001158,50.0,Axis,iOS,4G,7.3.1,True,
TX100035,3891,2025-08-11 21:05:21.001158,50.0,PNB,Android,4G,7.4.0,True,
TX100036,647,2025-07-14 18:20:13.001158,50.0,PNB,Android,4G,7.4.1,True,
TX100037,2889,2025-08-29 00:42:46.001158,50.0,HDFC,Android,4G,7.4.1,False,UPI_LIMIT_EXCEEDED
TX100038,2436,2025-07-30 20:35:09.001158,50.0,PNB,Android,5G,7.3.1,False,NETWORK_TIMEOUT
TX100039,601,2025-08-23 13:16:30.001158,50.0,Axis,Android,4G,7.4.0,True,
TX100040,2364,2025-07-27 02:08:13.001158,50.0,SBI,iOS,4G,7.4.1,False,USER_ABORT
TX100041,2062,2025-07-26 17:15:55.001158,50.0,ICICI,Android,4G,7.4.1,True,
TX100042,242,2025-08-14 14:12:26.001158,50.0,ICICI,Android,5G,7.4.1,True,
TX100043,2042,2025-08-27 16:49:36.001158,50.0,PNB,Android,5G,7.4.0,True,
TX100044,2825,2025-08-13 12:38:51.001158,83.56,HDFC,Android,WiFi,7.3.1,True,
TX100045,2613,2025-08-22 09:47:14.001158,50.0,ICICI,iOS,WiFi,7.3.1,False,USER_ABORT
TX100046,1364,2025-07-08 07:14:20.001158,50.0,SBI,iOS,4G,7.4.1,True,
TX100047,1479,2025-07-27 12:27:54.001158,50.0,HDFC,Android,4G,7.3.1,True,
TX100048,2557,2025-08-30 10:28:45.001158,50.0,SBI,Android,4G,7.4.1,False,USER_ABORT
TX100049,776,2025-08-06 00:10:25.001158,50.0,ICICI,Android,WiFi,7.4.0,True,
TX100050,4015,2025-08-17 17:25:17.001158,50.0,Axis,Android,5G,7.3.1,False,USER_ABORT
TX100051,35,2025-07-09 12:58:50.001158,50.0,SBI,Android,4G,7.4.0,True,
TX100052,3153,2025-08-03 09:57:10.001158,50.0,ICICI,Android,4G,7.3.1,False,NETWORK_TIMEOUT
TX100053,1956,2025-08-30 20:01:47.001158,50.0,SBI,Android,4G,7.4.0,True,
TX100054,1586,2025-07-18 12:58:27.001158,50.0,SBI,Android,4G,7.4.0,False,INCORRECT_PIN
TX100055,3944,2025-07-13 12:14:15.001158,50.0,ICICI,Android,WiFi,7.3.1,False,USER_ABORT
TX100056,3074,2025-07-14 16:14:25.001158,50.0,SBI,Android,5G,7.4.1,False,NETWORK_TIMEOUT
TX100057,1022,2025-07-24 11:26:14.001158,50.0,ICICI,Android,5G,7.4.1,False,USER_ABORT
TX100058,3462,2025-08-28 08:55:51.001158,50.0,SBI,Android,4G,7.4.0,True,
TX100059,2614,2025-08-23 14:10:48.001158,50.0,SBI,iOS,4G,7.4.0,True,
TX100060,3844,2025-07-24 14:01:18.001158,50.0,ICICI,Android,5G,7.4.1,True,
TX100061,1501,2025-07-16 10:29:39.001158,50.0,ICICI,Android,5G,7.3.1,True,
TX100062,4799,2025-08-31 18:35:40.001158,50.0,SBI,Android,4G,7.3.1,False,UPI_LIMIT_EXCEEDED
TX100063,162,2025-08-06 19:20:42.001158,50.0,ICICI,iOS,4G,7.4.0,False,USER_ABORT
TX100064,4298,2025-07-12 11:54:50.001158,50.0,Axis,Android,WiFi,7.3.1,True,
TX100065,1982,2025-08-06 00:20:08.001158,50.0,Axis,Android,4G,7.4.0,False,NETWORK_TIMEOUT
TX100066,996,2025-08-07 10:14:42.001158,50.0,SBI,Android,4G,7.3.1,True,
TX100067,4912,2025-07-13 09:05:25.001158,50.0,ICICI,Android,4G,7.4.0,True,
TX100068,3343,2025-08-17 07:30:19.001158,50.0,ICICI,Android,5G,7.3.1,False,USER_ABORT
TX100069,4552,2025-07-05 04:10:45.001158,50.0,SBI,Android,4G,7.4.0,True,
TX100070,3799,2025-08-04 09:27:03.001158,50.0,Axis,iOS,5G,7.4.1,False,INCORRECT_PIN
TX100071,1276,2025-08-24 17:54:37.001158,50.0,PNB,Android,4G,7.4.1,True,
TX100072,1017,2025-08-02 08:19:35.001158,50.0,Axis,Android,4G,7.4.1,True,
TX100073,338,2025-07-25 01:52:35.001158,50.0,Axis,iOS,5G,7.4.1,False,INCORRECT_PIN
TX100074,879,2025-08-17 09:48:24.001158,50.0,Axis,Android,5G,7.4.0,False,NETWORK_TIMEOUT
TX100075,1077,2025-08-23 01:10:17.001158,50.0,ICICI,Android,WiFi,7.3.1,True,
TX100076,4888,2025-07-29 04:03:59.001158,50.0,ICICI,Android,4G,7.4.0,True,
TX100077,3994,2025-07-11 08:34:35.001158,50.0,Axis,iOS,4G,7.4.0,True,
TX100078,4860,2025-08-19 21:44:19.001158,50.0,ICICI,Android,5G,7.4.0,True,
TX100079,380,2025-07-20 18:44:08.001158,78.04,HDFC,Android,4G,7.3.1,True,
TX100080,493,2025-08-11 13:15:13.001158,50.0,HDFC,Android,4G,7.4.0,False,USER_ABORT
TX100081,2063,2025-07-27 04:39:07.001158,50.0,PNB,iOS,4G,7.4.1,False,USER_ABORT
TX100082,3885,2025-07-29 01:40:28.001158,50.0,SBI,iOS,4G,7.4.1,False,BANK_DOWN
TX100083,65,2025-07-20 20:28:54.001158,50.0,ICICI,Android,4G,7.4.0,True,
TX100084,2569,2025-08-03 22:39:20.001158,50.0,PNB,Android,WiFi,7.4.1,False,INCORRECT_PIN
TX100085,2028,2025-07-14 22:37:53.001158,50.0,Axis,Android,WiFi,7.4.1,False,UPI_LIMIT_EXCEEDED
TX100086,2696,2025-07-31 12:03:44.001158,50.0,PNB,Android,WiFi,7.3.1,False,USER_ABORT
TX100087,1496,2025-07-11 01:32:29.001158,50.0,ICICI,iOS,WiFi,7.4.0,True,
TX100088,392,2025-09-01 05:15:31.001158,50.0,SBI,Android,4G,7.4.0,False,INCORRECT_PIN
TX100089,4515,2025-08-23 19:03:18.001158,50.0,Axis,Android,4G,7.4.1,False,USER_ABORT
TX100090,4475,2025-08-28 03:14:36.001158,50.0,HDFC,Android,5G,7.4.0,False,INCORRECT_PIN
TX100091,3562,2025-07-30 23:23:37.001158,50.0,HDFC,Android,WiFi,7.4.0,True,
TX100092,2279,2025-08-12 12:26:00.001158,50.0,HDFC,Android,4G,7.4.1,False,BANK_DOWN
TX100093,3100,2025-07-12 15:29:21.001158,50.0,SBI,Android,4G,7.4.1,False,USER_ABORT
TX100094,201,2025-08-31 03:56:58.001158,50.0,HDFC,Android,4G,7.4.0,False,NETWORK_TIMEOUT
TX100095,4876,2025-08-09 16:52:18.001158,50.0,HDFC,Android,4G,7.3.1,False,NETWORK_TIMEOUT
TX100096,3105,2025-07-08 18:46:00.001158,50.0,ICICI,Android,4G,7.4.1,True,
TX100097,4599,2025-07-16 13:51:53.001158,50.0,Axis,Android,4G,7.4.0,False,USER_ABORT
TX100098,2455,2025-08-25 13:06:54.001158,50.0,HDFC,iOS,WiFi,7.4.1,True,
TX100099,3646,2025-07-20 13:23:50.001158,50.0,SBI,Android,4G,7.4.0,False,NETWORK_TIMEOUT
TX100100,805,2025-08-08 04:58:04.001158,50.0,ICICI,iOS,WiFi,7.4.0,False,NETWORK_TIMEOUT
TX100101,2732,2025-08-22 16:14:56.001158,50.0,ICICI,Android,4G,7.3.1,True,
TX100102,2774,2025-07-31 21:41:45.001158,50.0,PNB,iOS,WiFi,7.4.1,True,
TX100103,1571,2025-07-11 01:53:15.001158,54.37,SBI,Android,4G,7.3.1,False,USER_ABORT
TX100104,2691,2025-08-27 01:43:29.001158,50.0,Axis,Android,5G,7.4.1,False,UPI_LIMIT_EXCEEDED
TX100105,3841,2025-07-28 16:11:41.001158,50.0,ICICI,Android,4G,7.3.1,False,NETWORK_TIMEOUT
TX100106,1029,2025-07-30 15:13:42.001158,50.0,ICICI,Android,5G,7.4.1,False,USER_ABORT
TX100107,503,2025-07-14 20:38:17.001158,50.0,SBI,iOS,WiFi,7.3.1,True,
TX100108,4494,2025-07-15 05:46:30.001158,68.19,HDFC,Android,4G,7.3.1,True,
TX100109,871,2025-08-26 04:18:19.001158,50.0,SBI,Android,4G,7.4.1,False,NETWORK_TIMEOUT
TX100110,4489,2025-07-09 00:38:01.001158,50.0,SBI,Android,4G,7.3.1,True,
TX100111,207,2025-07-23 02:56:20.001158,50.0,ICICI,Android,4G,7.3.1,False,UPI_LIMIT_EXCEEDED
TX100112,1485,2025-07-28 01:16:23.001158,50.0,Axis,Android,4G,7.4.1,False,NETWORK_TIMEOUT
TX100113,864,2025-07-09 07:07:42.001158,50.0,Axis,Android,5G,7.4.1,True,
TX100114,2791,2025-07-19 13:43:09.001158,50.0,ICICI,Android,4G,7.4.0,False,BANK_DOWN
TX100115,564,2025-07-18 01:35:23.001158,50.0,ICICI,Android,5G,7.4.1,True,
TX100116,4192,2025-08-28 06:01:17.001158,50.0,HDFC,Android,WiFi,7.4.0,True,
TX100117,1758,2025-08-10 10:34:24.001158,50.0,PNB,Android,5G,7.3.1,True,
TX100118,1679,2025-07-17 23:23:16.001158,50.0,ICICI,Android,4G,7.4.1,True,
TX100119,3243,2025-08-09 03:27:42.001158,50.0,SBI,iOS,5G,7.4.0,False,NETWORK_TIMEOUT
TX100120,4637,2025-07-10 14:29:19.001158,50.0,SBI,Android,4G,7.4.1,True,
TX100121,1060,2025-07-05 12:19:27.001158,50.0,ICICI,Android,4G,7.4.0,False,USER_ABORT
TX100122,1723,2025-08-18 02:58:47.001158,50.0,ICICI,Android,4G,7.4.0,True,
TX100123,3315,2025-08-23 14:43:28.001158,50.0,SBI,Android,WiFi,7.4.1,False,USER_ABORT
TX100124,3158,2025-07-10 17:57:38.001158,50.0,Axis,Android,5G,7.3.1,True,
TX100125,2626,2025-07-21 05:47:05.001158,50.0,Axis,Android,4G,7.3.1,True,
TX100126,2730,2025-07-14 02:18:45.001158,50.0,ICICI,Android,4G,7.4.0,False,NETWORK_TIMEOUT
TX100127,1598,2025-08-27 02:43:07.001158,50.0,SBI,Android,4G,7.4.0,False,INCORRECT_PIN
TX100128,3061,2025-07-17 04:44:51.001158,50.0,HDFC,Android,WiFi,7.3.1,False,UPI_LIMIT_EXCEEDED
TX100129,2694,2025-07-08 09:29:14.001158,50.0,PNB,Android,WiFi,7.4.1,False,USER_ABORT
TX100130,4892,2025-08-05 11:53:53.001158,50.0,Axis,Android,4G,7.4.1,True,
TX100131,3628,2025-07-10 11:12:56.001158,50.0,HDFC,iOS,4G,7.3.1,False,UPI_LIMIT_EXCEEDED
TX100132,1364,2025-08-05 01:58:02.001158,50.0,SBI,Android,5G,7.3.1,True,
TX100133,1982,2025-08-02 07:27:52.001158,50.0,HDFC,Android,4G,7.3.1,False,USER_ABORT
TX100134,1664,2025-07-06 23:15:14.001158,50.0,HDFC,Android,4G,7.4.0,False,USER_ABORT
TX100135,1530,2025-07-18 13:01:05.001158,50.0,ICICI,iOS,5G,7.3.1,True,
TX100136,2039,2025-07-07 14:08:53.001158,50.0,PNB,Android,4G,7.3.1,True,
TX100137,3303,2025-08-15 00:37:44.001158,50.0,HDFC,iOS,5G,7.3.1,False,NETWORK_TIMEOUT
TX100138,2238,2025-07-21 09:27:35.001158,50.0,SBI,Android,4G,7.3.1,False,NETWORK_TIMEOUT
TX100139,1307,2025-07-07 07:42:07.001158,50.0,PNB,Android,5G,7.4.1,True,
TX100140,4030,2025-07-28 22:37:36.001158,50.0,SBI,Android,5G,7.4.1,False,NETWORK_TIMEOUT
TX100141,2676,2025-07-20 20:32:44.001158,50.0,PNB,Android,4G,7.3.1,True,
TX100142,1283,2025-07-14 14:13:22.001158,50.0,ICICI,Android,5G,7.4.0,False,NETWORK_TIMEOUT
TX100143,710,2025-07-26 23:59:22.001158,50.0,PNB,Android,4G,7.4.0,True,
TX100144,4745,2025-07-19 15:36:03.001158,50.0,SBI,Android,4G,7.4.1,True,
TX100145,4414,2025-08-20 04:44:45.001158,50.0,SBI,Android,4G,7.4.0,True,
TX100146,3749,2025-08-21 03:23:35.001158,50.0,HDFC,Android,4G,7.4.0,True,
TX100147,4780,2025-08-30 13:24:21.001158,50.0,HDFC,Android,4G,7.4.1,False,NETWORK_TIMEOUT
TX100148,664,2025-08-14 08:06:37.001158,50.0,HDFC,iOS,5G,7.3.1,True,
TX100149,1999,2025-07-06 17:52:21.001158,50.0,PNB,Android,4G,7.3.1,True,
TX100150,3446,2025-08-21 04:35:58.001158,64.29,Axis,Android,4G,7.4.1,True,
TX100151,3744,2025-08-17 21:14:30.001158,50.0,ICICI,iOS,WiFi,7.3.1,True,
TX100152,1496,2025-08-19 13:25:56.001158,50.0,SBI,Android,5G,7.3.1,False,USER_ABORT
TX100153,3305,2025-07-13 18:02:34.001158,50.0,Axis,Android,4G,7.4.1,False,UPI_LIMIT_EXCEEDED
TX100154,3764,2025-08-26 17:53:01.001158,50.0,Axis,iOS,4G,7.4.1,True,
TX100155,1854,2025-07-23 21:58:37.001158,50.0,HDFC,Android,4G,7.4.1,True,
TX100156,4660,2025-07-13 18:06:50.001158,50.0,PNB,Android,4G,7.4.0,True,
TX100157,1292,2025-08-22 10:45:08.001158,50.0,SBI,Android,WiFi,7.4.1,True,
TX100158,3582,2025-07-12 21:28:57.001158,50.0,SBI,Android,4G,7.4.1,False,INCORRECT_PIN
TX100159,3458,2025-07-05 06:53:56.001158,50.0,SBI,Android,5G,7.4.1,True,
TX100160,1637,2025-08-20 06:29:54.001158,50.0,Axis,Android,WiFi,7.4.1,True,
TX100161,3697,2025-07-17 12:46:40.001158,50.0,ICICI,Android,5G,7.3.1,True,
TX100162,3000,2025-07-10 08:31:52.001158,50.0,HDFC,Android,4G,7.4.1,False,USER_ABORT
TX100163,3153,2025-08-12 17:09:30.001158,50.0,SBI,Android,5G,7.4.1,False,NETWORK_TIMEOUT
TX100164,699,2025-07-29 15:00:53.001158,50.0,SBI,Android,WiFi,7.4.0,False,USER_ABORT
TX100165,2161,2025-08-24 11:36:16.001158,50.0,SBI,Android,5G,7.4.0,False,USER_ABORT
TX100166,4098,2025-08-08 06:41:26.001158,50.0,HDFC,iOS,WiFi,7.3.1,True,
TX100167,4738,2025-08-18 04:33:46.001158,50.0,SBI,Android,4G,7.4.1,True,
TX100168,855,2025-07-29 16:20:34.001158,50.0,SBI,iOS,WiFi,7.4.1,False,USER_ABORT
TX100169,3475,2025-07-21 10:01:02.001158,50.0,Axis,Android,WiFi,7.4.1,False,NETWORK_TIMEOUT
TX100170,1708,2025-08-21 07:15:36.001158,50.0,ICICI,Android,4G,7.4.0,False,NETWORK_TIMEOUT
TX100171,2778,2025-08-28 17:15:41.001158,50.0,Axis,Android,5G,7.3.1,False,UPI_LIMIT_EXCEEDED
TX100172,1734,2025-09-01 00:48:17.001158,60.52,SBI,Android,5G,7.4.0,True,
TX100173,4932,2025-07-03 09:15:02.001158,50.0,HDFC,Android,5G,7.4.1,False,UPI_LIMIT_EXCEEDED
TX100174,3511,2025-08-11 20:52:59.001158,50.0,HDFC,iOS,WiFi,7.4.0,True,
TX100175,203,2025-07-10 13:12:50.001158,50.0,SBI,Android,4G,7.4.1,True,
TX100176,3256,2025-07-11 03:35:39.001158,50.0,SBI,iOS,5G,7.4.1,False,USER_ABORT
TX100177,4219,2025-08-12 21:24:46.001158,50.0,Axis,Android,5G,7.4.1,True,
TX100178,4497,2025-07-10 16:23:37.001158,50.0,PNB,iOS,5G,7.3.1,True,
TX100179,767,2025-08-06 02:22:06.001158,50.0,SBI,Android,5G,7.4.0,False,INCORRECT_PIN
TX100180,4390,2025-08-14 22:37:22.001158,50.0,HDFC,iOS,4G,7.4.1,True,
TX100181,2328,2025-08-16 12:27:34.001158,50.0,PNB,Android,4G,7.4.1,False,NETWORK_TIMEOUT
TX100182,2932,2025-08-09 18:12:38.001158,50.0,SBI,iOS,WiFi,7.3.1,True,
TX100183,198,2025-07-06 00:59:39.001158,50.0,ICICI,Android,WiFi,7.3.1,True,
TX100184,1931,2025-08-05 08:40:13.001158,56.78,PNB,Android,4G,7.4.1,False,INCORRECT_PIN
TX100185,3583,2025-08-20 10:45:50.001158,50.0,PNB,Android,5G,7.4.1,True,
TX100186,609,2025-08-15 10:46:01.001158,50.0,HDFC,Android,WiFi,7.4.1,True,
TX100187,3273,2025-08-26 05:55:37.001158,50.0,SBI,Android,5G,7.4.1,True,
TX100188,1148,2025-08-03 16:21:34.001158,50.0,SBI,iOS,5G,7.3.1,False,USER_ABORT
TX100189,4283,2025-08-09 08:54:32.001158,50.0,PNB,Android,4G,7.4.0,True,
TX100190,3398,2025-08-06 23:40:52.001158,50.0,PNB,Android,5G,7.3.1,False,NETWORK_TIMEOUT
TX100191,2512,2025-07-07 14:20:49.001158,50.0,ICICI,Android,5G,7.3.1,False,USER_ABORT
TX100192,1795,2025-07-30 04:15:27.001158,50.0,Axis,Android,5G,7.4.0,True,
TX100193,660,2025-07-07 15:19:31.001158,50.0,Axis,Android,5G,7.4.1,True,
TX100194,2812,2025-08-30 19:53:56.001158,50.0,ICICI,iOS,4G,7.4.1,True,
TX100195,1370,2025-07-20 02:07:20.001158,50.0,Axis,Android,WiFi,7.4.0,True,
TX100196,1987,2025-08-05 07:47:50.001158,50.0,ICICI,Android,5G,7.3.1,True,
TX100197,147,2025-07-05 14:54:08.001158,50.0,ICICI,Android,5G,7.4.1,True,
TX100198,3220,2025-07-31 20:52:51.001158,50.0,SBI,Android,WiFi,7.4.0,False,NETWORK_TIMEOUT
TX100199,2912,2025-08-12 15:33:46.001158,50.0,Axis,Android,WiFi,7.4.0,True,
TX100200,1735,2025-08-26 01:24:39.001158,50.0,HDFC,Android,WiFi,7.4.0,True,
TX100201,1844,2025-07-21 11:15:59.001158,50.0,HDFC,Android,5G,7.4.1,False,NETWORK_TIMEOUT
TX100202,489,2025-08-07 09:43:03.001158,50.0,Axis,Android,4G,7.4.0,False,USER_ABORT
TX100203,2977,2025-08-11 19:09:00.001158,50.0,ICICI,iOS,4G,7.3.1,True,
TX100204,1960,2025-08-05 07:02:42.001158,50.0,PNB,Android,4G,7.3.1,True,
TX100205,2386,2025-07-22 13:32:21.001158,50.0,SBI,iOS,4G,7.4.0,True,
TX100206,2920,2025-08-05 20:43:52.001158,50.0,ICICI,Android,5G,7.4.0,True,
TX100207,4737,2025-07-06 16:10:06.001158,50.0,SBI,Android,4G,7.4.0,True,
TX100208,1803,2025-07-09 10:52:40.001158,50.0,PNB,Android,WiFi,7.3.1,True,
TX100209,4062,2025-07-18 00:05:22.001158,50.0,SBI,Android,5G,7.4.1,True,
TX100210,3370,2025-07-29 06:11:41.001158,50.0,ICICI,Android,4G,7.3.1,False,USER_ABORT
TX100211,263,2025-08-04 08:25:53.001158,50.0,Axis,Android,4G,7.4.0,True,
TX100212,624,2025-08-09 18:39:19.001158,50.0,HDFC,Android,4G,7.4.1,True,
TX100213,1017,2025-07-25 09:10:40.001158,50.0,PNB,Android,WiFi,7.4.1,True,
TX100214,3644,2025-08-26 10:29:10.001158,50.0,Axis,Android,4G,7.4.0,True,
TX100215,4977,2025-07-22 23:24:08.001158,50.0,HDFC,Android,5G,7.4.0,True,
TX100216,2050,2025-08-25 17:51:04.001158,50.0,SBI,iOS,5G,7.3.1,False,NETWORK_TIMEOUT
TX100217,3724,2025-08-03 08:10:24.001158,50.0,HDFC,Android,5G,7.3.1,True,
TX100218,4549,2025-08-04 19:59:11.001158,50.0,HDFC,Android,4G,7.3.1,True,
TX100219,3109,2025-08-26 03:01:58.001158,50.0,PNB,iOS,4G,7.4.0,True,
TX100220,4091,2025-08-16 18:40:49.001158,50.0,PNB,iOS,4G,7.4.1,False,USER_ABORT
TX100221,2057,2025-07-07 21:22:20.001158,50.0,SBI,Android,4G,7.3.1,False,INCORRECT_PIN
TX100222,3171,2025-08-13 17:17:14.001158,50.0,HDFC,Android,5G,7.4.0,False,UPI_LIMIT_EXCEEDED
TX100223,1683,2025-08-06 05:37:42.001158,50.0,ICICI,iOS,4G,7.4.1,False,INCORRECT_PIN
TX100224,2256,2025-08-04 03:57:30.001158,50.0,SBI,Android,4G,7.4.0,True,
TX100225,1155,2025-08-05 11:00:17.001158,50.0,HDFC,Android,4G,7.4.0,False,UPI_LIMIT_EXCEEDED
TX100226,4500,2025-08-04 01:10:40.001158,50.0,HDFC,Android,5G,7.4.0,False,NETWORK_TIMEOUT
TX100227,3192,2025-08-16 02:28:36.001158,50.0,ICICI,Android,4G,7.3.1,True,
TX100228,1697,2025-08-09 01:18:30.001158,50.0,ICICI,iOS,4G,7.4.0,True,
TX100229,3992,2025-07-20 05:46:31.001158,50.0,Axis,Android,5G,7.4.0,True,
TX100230,4724,2025-08-20 08:09:24.001158,50.0,SBI,iOS,4G,7.4.0,True,
TX100231,4683,2025-08-13 08:27:43.001158,50.0,Axis,Android,4G,7.3.1,False,BANK_DOWN
TX100232,1649,2025-07-11 20:49:10.001158,50.0,ICICI,Android,4G,7.4.0,True,
TX100233,1446,2025-07-13 08:42:23.001158,50.0,PNB,Android,WiFi,7.4.0,False,USER_ABORT
TX100234,4200,2025-07-31 04:55:20.001158,50.0,HDFC,iOS,4G,7.3.1,False,NETWORK_TIMEOUT
TX100235,3924,2025-08-01 12:07:30.001158,50.0,PNB,Android,4G,7.4.0,True,
TX100236,254,2025-08-08 00:36:05.001158,50.0,Axis,Android,WiFi,7.4.1,True,
TX100237,3184,2025-08-25 00:29:05.001158,50.0,HDFC,Android,4G,7.4.0,True,
TX100238,2558,2025-07-17 14:44:16.001158,50.0,HDFC,Android,5G,7.4.0,False,UPI_LIMIT_EXCEEDED
TX100239,99,2025-07-22 21:35:06.001158,50.0,PNB,Android,4G,7.3.1,True,
TX100240,2201,2025-08-07 09:37:43.001158,50.0,Axis,Android,4G,7.3.1,True,
TX100241,2962,2025-07-03 11:01:02.001158,50.0,PNB,iOS,5G,7.3.1,False,USER_ABORT
TX100242,4974,2025-07-12 23:37:26.001158,50.0,Axis,Android,WiFi,7.3.1,False,UPI_LIMIT_EXCEEDED
TX100243,4434,2025-07-28 21:54:19.001158,50.0,ICICI,Android,4G,7.4.1,True,
TX100244,3778,2025-07-22 20:21:22.001158,50.0,SBI,Android,5G,7.4.0,False,NETWORK_TIMEOUT
TX100245,2870,2025-07-28 03:28:17.001158,50.0,HDFC,Android,5G,7.4.0,True,
TX100246,3235,2025-08-25 15:19:37.001158,50.0,PNB,Android,4G,7.4.1,True,
TX100247,3792,2025-07-07 20:20:35.001158,50.0,HDFC,iOS,5G,7.3.1,True,
TX100248,957,2025-07-20 04:24:53.001158,50.0,SBI,Android,4G,7.4.0,False,NETWORK_TIMEOUT
TX100249,4068,2025-07-26 09:40:35.001158,50.0,Axis,iOS,4G,7.4.1,True,
TX100250,161,2025-07-27 03:58:01.001158,50.0,Axis,iOS,4G,7.4.0,True,
TX100251,4494,2025-07-23 22:24:47.001158,50.0,HDFC,Android,WiFi,7.4.1,True,
TX100252,1301,2025-08-31 00:28:09.001158,50.0,HDFC,Android,4G,7.4.1,False,NETWORK_TIMEOUT
TX100253,4912,2025-08-17 23:39:53.001158,50.0,HDFC,Android,5G,7.4.0,True,
TX100254,3988,2025-07-31 04:28:32.001158,50.0,SBI,Android,4G,7.3.1,True,
TX100255,1528,2025-07-18 19:23:37.001158,54.97,Axis,Android,4G,7.3.1,True,
TX100256,1219,2025-07-23 14:52:02.001158,50.0,HDFC,Android,5G,7.4.1,True,
TX100257,4497,2025-07-26 06:30:36.001158,50.0,Axis,Android,5G,7.3.1,False,INCORRECT_PIN
TX100258,4736,2025-07-30 23:19:43.001158,50.0,Axis,iOS,4G,7.4.0,False,UPI_LIMIT_EXCEEDED
TX100259,3105,2025-07-08 09:17:37.001158,50.0,ICICI,Android,4G,7.4.1,True,
TX100260,2736,2025-08-07 00:09:08.001158,50.0,HDFC,Android,WiFi,7.4.0,True,
TX100261,4556,2025-08-07 02:37:32.001158,50.0,ICICI,Android,4G,7.4.0,True,
TX100262,955,2025-08-27 13:15:25.001158,50.0,HDFC,Android,5G,7.3.1,False,USER_ABORT
TX100263,4566,2025-07-25 07:20:10.001158,50.0,HDFC,Android,5G,7.4.0,True,
